Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,32.88,35.2,29.65,32.39,32.24,1106942000,93.53,98.74,72.0,89.43,89.01,709884600,114.6,129.29,85.5,115.03,115.03,469661800,26.87,27.14,22.55,25.64,25.64,1657264000,30.38,30.64,23.0,28.19,25.25,6427276400
2015-09-01,31.69,34.1,30.89,31.92,31.77,871504000,86.85,96.49,85.72,89.9,89.48,635399800,109.35,111.24,93.55,103.26,103.26,497401200,24.96,27.49,24.52,25.59,25.59,1535378000,27.54,29.22,26.84,27.58,24.82,4826189200
2015-10-01,31.9,37.62,31.56,36.87,36.69,1005286000,90.05,105.12,88.36,101.97,101.49,571590400,102.91,115.83,96.26,108.38,108.38,446204400,25.55,31.54,25.3,31.3,31.3,1942522000,27.27,30.31,26.83,29.88,26.89,4450048400
2015-11-01,36.73,39.15,36.57,38.14,37.96,751482000,101.72,110.65,100.47,104.24,103.75,547232800,109.2,126.6,101.86,123.33,123.33,320321800,31.36,34.14,31.02,33.24,33.24,1746098000,30.2,30.95,27.75,29.58,26.62,3002562400
2015-12-01,38.35,39.93,36.81,38.9,38.72,872694000,104.83,107.92,101.46,104.66,104.17,440304100,124.47,133.27,113.85,114.38,114.38,319939200,33.69,34.82,31.76,33.79,33.79,1803750000,29.69,29.97,26.2,26.32,23.78,3687660800
2016-01-01,38.11,38.46,34.39,38.07,37.89,1039984000,101.95,112.84,89.37,112.21,111.68,792709100,109.0,122.18,90.11,91.84,91.84,488193200,32.81,32.89,27.36,29.35,29.35,2604018000,25.65,26.46,23.1,24.33,21.99,5087392000
2016-02-01,38.56,40.52,34.1,35.86,35.69,1352946000,112.27,117.59,96.82,106.92,106.42,874152500,91.79,97.48,79.95,93.41,93.41,389268900,28.91,29.09,23.7,27.63,27.63,2482896000,24.12,24.72,23.15,24.17,21.85,3243450400
2016-03-01,36.06,38.87,35.2,38.15,37.96,853314000,107.83,116.99,104.4,114.1,113.56,521458900,94.58,104.91,93.61,102.23,102.23,311333700,27.81,30.16,26.93,29.68,29.68,1880190000,24.41,27.6,24.35,27.25,24.76,2984198400
2016-04-01,37.86,39.55,35.16,35.39,35.23,933228000,113.75,120.79,106.31,117.58,117.03,741613800,102.93,111.85,88.21,90.03,90.03,340174300,29.52,33.5,29.26,32.98,32.98,1569284000,27.19,28.1,23.13,23.43,21.29,3489534800
2016-05-01,35.6,37.67,35.2,37.44,37.26,682046000,117.83,121.08,115.88,118.81,118.25,460544200,90.41,104.0,85.74,102.57,102.57,264997900,33.2,36.21,32.8,36.14,36.14,1812290000,23.49,25.18,22.37,24.97,22.69,3602686000
